id,scheme,developer,location,region,lat,lng,capacity_mw,capacity_note,planning_status,water_company,water_stressed,flags,source_url
1,Culham Campus AI Growth Zone,UKAEA / DSIT,"Culham, Oxfordshire",South East,51.656,-1.232,100,Scaling to ~500MW,Announced,Thames Water,true,AIGZ flagship,https://www.datacenterdynamics.com/en/news/first-ai-growth-zone-in-the-uk-may-implement-waste-heat-recycling/
2,CloudHQ Didcot A campus,CloudHQ,"Didcot, Oxfordshire",South East,51.606,-1.243,100,Expandable to 300MW; £1.9bn,Approved,Thames Water,true,,https://theoxfordmagazine.com/news/us-tech-firm-cloudhq-to-develop-1-9bn-data-centre-campus-in-didcot/
3,Graven Hill data centre,Not named,"Bicester, Oxfordshire",South East,51.894,-1.15,,Undisclosed,Outline approved 2023,Thames Water,true,Developer unverified,https://www.datacenterdynamics.com/en/news/planning-decision-on-data-center-project-in-oxfordshire-uk-delayed/
4,SDC M40 Campus,SDC Capital Partners + Veolia,"Beaconsfield, Buckinghamshire",South East,51.61,-0.644,300,3 x 100MW,Submitted (NSIP/DCO),Affinity Water,true,First DC NSIP direction,https://www.computerweekly.com/news/366640595/Bucks-landfill-datacentre-first-to-get-Nationally-Significant-status
5,"Court Lane, Iver",Corescale,"Iver, Buckinghamshire",South East,51.52,-0.503,140,,Approved (legal challenge),Affinity Water,true,First DC legal challenge,https://www.foxglove.org.uk/2025/08/21/new-case-launch-uk-first-legal-challenge-data-centre/
6,West London Technology Park,Greystoke Land,"Iver Heath, Buckinghamshire",South East,51.535,-0.524,,"~72,000 sqm",Approved (likely quashed),Affinity Water,true,Consent in jeopardy,https://www.datacenterdynamics.com/en/news/planning-permission-for-buckinghamshire-data-center-likely-to-be-quashed-after-uk-government-admits-serious-logical-error/
7,AWS Thorney Lane Business Park,Amazon Data Services UK,"Iver, Buckinghamshire",South East,51.514,-0.49,,2 buildings,Submitted (2025),Affinity Water,true,,https://www.maidenhead-advertiser.co.uk/news/public-notices/703861/public-notices-application-to-build-data-centre-buildings-at-thorney-business-park.html
8,AWS Ridgeway Distribution Centre,Amazon Data Services,"Iver, Buckinghamshire",South East,51.512,-0.486,,"~30,525 sqm",Submitted,Affinity Water,true,May overlap Thorney Lane,https://www.datacenterdynamics.com/en/news/aws-files-to-develop-data-center-outside-london-uk/
9,Virtus Saunderton campus,Virtus Data Centres,"Saunderton, Buckinghamshire",South East,51.665,-0.834,,Colocation campus,Under construction,Thames Water,true,,https://www.computerweekly.com/news/366570392/Virtus-to-open-colocation-campus-in-Buckinghamshire-as-demand-for-london-datacentres-soars
10,AWS-linked Houghton Regis DCs,Colliers Properties (AWS partner),"Houghton Regis, Bedfordshire",East of England,51.903,-0.524,,~114.8m kWh/yr,Submitted,Affinity Water,true,,https://www.datacenterdynamics.com/en/news/aws-files-to-develop-data-center-outside-london-uk/
11,DC01UK South Mimms,DC01UK / Equinix,"South Mimms, Hertfordshire",East of England,51.692,-0.225,,Up to 2m sq ft,Outline approved Jan 2025,Affinity Water,true,Capacity undisclosed,https://www.computerweekly.com/feature/DC01UK-Everything-you-need-to-know-about-the-UK-government-backed-Hertfordshire-mega-datacentre
12,Greystoke Abbots Langley hyperscale,Greystoke Land,"Abbots Langley, Hertfordshire",East of England,51.702,-0.418,96,£1bn; green belt,Approved May 2025,Affinity Water,true,,https://www.theregister.com/2025/05/16/uk_overrules_local_council_approve_datacenter/
13,45 Maylands Avenue,Undisclosed,"Hemel Hempstead, Hertfordshire",East of England,51.753,-0.449,,"Small ~5,000 sqm",Outline approved Aug 2025,Affinity Water,true,Small scheme,https://datacentrereview.com/2025/08/outline-planning-approved-for-5000sqm-data-centre-in-hemel-hempstead/
14,Orbital M25 J24 campus,Orbital Data Centres,"Enfield/Hertsmere, Hertfordshire",London,51.667,-0.18,150,150-300MW grid reserved,Announced / pre-app,Thames Water,true,Water co boundary uncertain,https://orbitaldatacentres.co.uk/
15,"Premier Park, Park Royal",SEGRO / Pure DC JV,"Park Royal, West London",London,51.527,-0.277,,"£1bn, ~30,000 sqm",Approved May 2026,Thames Water,true,,https://www.constructionenquirer.com/2026/05/05/1bn-data-centre-gets-green-light-in-west-london/
16,Kao Data Park Royal,Kao Data,"Park Royal, Ealing, London",London,51.524,-0.27,,Live target 2029,Announced Mar 2026,Thames Water,true,,https://www.datacenterdynamics.com/en/news/uks-kao-data-acquires-brownfield-site-in-west-london-for-data-center-development/
17,Colt Hayes Bridge Retail Park,Colt DCS,"Hayes, Hillingdon, London",London,51.513,-0.421,,"3 buildings, £100m+",Approved Oct 2025,Affinity Water,true,,https://www.datacenterdynamics.com/en/news/colt-dcs-plans-three-new-data-centers-in-hayes-uk/
18,"Colt LON8, Heathrow Interchange",Colt DCS,"Hayes, Hillingdon, London",London,51.505,-0.415,,,Approved,Affinity Water,true,,https://ukpropertyforums.com/hillingdon-approves-data-centre-enabling-works/
19,Silverdale Road data centre,Undisclosed,"Hayes, Hillingdon, London",London,51.509,-0.425,,"Small ~1,914 sqm",Approved Mar 2025,Affinity Water,true,Small scheme,https://harrowonline.org/2025/03/17/planning-permission-granted-to-build-large-data-centre-in-hayes/
20,Cranford / Heathrow Estate scheme,Brixton (Heathrow Estate) / SEGRO,"Cranford, Hounslow, London",London,51.483,-0.418,48,,Submitted,Affinity Water,true,Water co boundary uncertain,https://theviewfromw5.substack.com/p/mysterious-new-data-centre-proposed-heathrow
21,Manor Farm campus (nr Heathrow),Tritax Big Box REIT JV,"Nr Heathrow, Greater London",London,51.487,-0.49,147,107MW Ph1 + 40MW Ph2,Submitted (Ph1),Affinity Water,true,Boundary uncertain,https://www.blackridgeresearch.com/blog/top-latest-list-of-upcoming-data-centers-in-the-uk-united-kingdom
22,"Bidder Street, Canning Town",sineQN / L&G / Goldacre,"Newham, London",London,51.514,0.008,80,77-80MW; £750m,Approved Oct 2024,Thames Water,true,,https://www.datacenterdynamics.com/en/news/80mw-data-center-in-newham-east-london-gets-go-ahead/
23,Ada Infrastructure Docklands campus,Ada Infrastructure (GLP),"Silvertown, Newham, London",London,51.502,0.029,210,3 x 70MW,Under construction,Thames Water,true,,https://www.datacenterdynamics.com/en/news/ada-infrastructure-gets-approval-for-210mw-london-docklands-data-center/
24,NTT Dagenham East digital hub,NTT,"Dagenham, B&D, London",London,51.539,0.166,,"£1.5bn, two DCs",Approved Jul 2025,Essex & Suffolk Water,true,,https://datacentre.solutions/news/58342/council-gives-green-light-for-15b-data-centre-in-dagenham
25,East Havering Data Centre Campus,Digital Reef Ltd / LB Havering,"North Ockendon, Havering, London",London,51.541,0.272,600,"£5.3bn, 175ha",LDO consultation Mar 2026,Essex & Suffolk Water,true,,https://www.datacenterdynamics.com/en/news/175-hectare-600mw-data-center-campus-proposed-outside-london-in-havering/
26,Yondr Slough campus Building C,Yondr Group,"Slough, Berkshire",South East,51.512,-0.591,40,100MW full campus,Building C approved,Thames Water,true,,https://www.datacenterdynamics.com/en/news/yondr-granted-planning-permission-for-third-data-center-at-slough-uk-campus/
27,SEGRO Slough Trading Estate DC,SEGRO,"Slough, Berkshire",South East,51.524,-0.638,50,"~50MVA, pre-let",Announced Mar 2026,Thames Water,true,,https://datacentrereview.com/2026/03/segro-further-expands-slough-campus-as-its-first-fully-fitted-data-centre-gains-planning/
28,Foxboro Business Park expansion,Castleforge / Galaxy DC,"Redhill, Surrey",South East,51.24,-0.166,15,£500m campus,Approved May 2026,SES Water,true,,https://www.theplanner.co.uk/2026/05/11/data-centre-approved-surrey
29,Google North Weald Airfield,Google,"North Weald, Epping Forest, Essex",East of England,51.721,0.154,163,£88m land deal,Outline approved Dec 2025,Affinity Water,true,Boundary uncertain,https://www.datacenterdynamics.com/en/news/google-gets-approval-for-data-center-project-at-raf-airfield-in-essex-uk/
30,Google Thurrock (Lakeside Basin),Google,"West Thurrock, Essex",East of England,51.482,0.273,,25k+ petition opp.,Submitted 2025,Essex & Suffolk Water,true,,https://www.foxglove.org.uk/campaigns/thurrock-council-stop-google-data-centre/
31,"Kao KLON-03, Kao Data Park",Kao Data,"Harlow, Essex",East of England,51.779,0.121,17.6,,Under construction,Affinity Water,true,,https://bdcmagazine.com/2025/03/kao-data-expands-harlow-campus-with-third-cutting-edge-data-centre/
32,Nscale Loughton AI Campus,Nscale (Microsoft offtake),"Loughton, Essex",East of England,51.645,0.055,50,Scalable to 90MW,Under construction,Thames Water,true,,https://www.datacenterdynamics.com/en/news/microsoft-to-build-uks-largest-supercomputer-as-part-of-15bn-infrastructure-push/
33,Custodian Dartford (DA2),Custodian Data Centres,"Dartford, Kent",South East,51.446,0.219,10,,Announced,Thames Water,true,Boundary uncertain,https://www.datacenterdynamics.com/en/news/custodian-data-centres-to-build-10mw-data-center-in-dartford-uk/
34,"Former RAF radar tower, Courtenay Rd",Undisclosed,"Dunkirk, Swale, Kent",South East,51.297,0.967,,"Small 2,785 sqm",Approved,South East Water,true,Small/old scheme,https://www.datacenterdynamics.com/en/news/data-center-proposed-at-former-raf-radar-tower-site-in-kent-uk/
35,AiOnX Sutton-in-the-Isle campus,SWI Group / AiOnX,"Sutton-in-the-Isle, Cambridgeshire",East of England,52.382,0.106,330,£3bn full build-out,Announced,Cambridge Water,true,Supply co uncertain,https://www.datacenterdynamics.com/en/news/330mw-data-center-campus-proposed-in-cambridgeshire-uk/
36,Camro Data Campus,Camro,"Cambridge area, Cambridgeshire",East of England,52.205,0.119,,"40-acre, ~65,000 sqm",Announced / pre-plan,Cambridge Water,true,Early stage,http://www.camro.co.uk/
37,Norwich Bioscience Institutes DC,UKRI-BBSRC / Earlham Institute,"Norwich Research Park, Norfolk",East of England,52.622,1.221,,£20m HPC,Under construction,Anglian Water,true,Small research facility,https://www.earlham.ac.uk/news/new-data-centre-norwich-research-park-set-bolster-uks-bioscience-capability
38,Elsham Tech Park,Elsham Tech Park Ltd (Greystoke),"Elsham Wolds, North Lincolnshire",Yorkshire & Humber,53.611,-0.408,1000,"1GW, 15 halls",Outline approved Mar 2026,Anglian Water,true,,https://www.datacenterdynamics.com/en/news/1gw-data-center-planned-for-north-lincolnshire-uk-given-planning-permission/
39,Humber Tech Park,Humber Tech Park Ltd,"South Killingholme, North Lincolnshire",Yorkshire & Humber,53.64,-0.26,384,or 147MW Ph1 / £3bn,Approved Aug 2024,Anglian Water,true,Capacity figures conflict,https://www.datacenterdynamics.com/en/news/384mw-data-center-campus-proposed-in-north-lincolnshire-uk/
40,Microsoft Skelton Grange,Microsoft,"Leeds, West Yorkshire",Yorkshire & Humber,53.766,-1.487,,"£4bn, ~424,000 sq ft",Approved Apr 2026,Yorkshire Water,false,,https://www.constructionenquirer.com/2026/04/27/go-ahead-for-microsofts-4bn-leeds-data-hub-push/
41,Microsoft Eggborough,Microsoft,"Eggborough, North Yorkshire",Yorkshire & Humber,53.711,-1.131,,,Announced / pre-plan,Yorkshire Water,false,Status not reconfirmed,https://baxtel.com/data-center/microsoft-eggborough
42,Yorkshire Energy Park,YEP consortium,"Hedon, nr Hull, East Riding",Yorkshire & Humber,53.744,-0.198,,,Submitted,Yorkshire Water,false,,https://yorkshire-energy-park.co.uk/planning-application-submitted-for-energy-centre-and-data-centre/
43,QTS Cambois Campus,QTS / Blackstone,"Cambois, nr Blyth, Northumberland",North East,55.146,-1.535,720,10x72MW; AIGZ ~1.1GW; £10bn,Outline approved Feb 2026,Northumbrian Water,false,NE AIGZ anchor,https://www.datacenterdynamics.com/en/news/blackstone-gets-green-light-for-10bn-qts-data-center-in-northumberland-uk/
44,Stargate UK / Nscale Cobalt Park,Nscale with OpenAI + Nvidia,"Cobalt Park, North Tyneside",North East,55.03,-1.498,,"Up to 31,000 GPUs",PAUSED Apr 2026,Northumbrian Water,false,Paused - high uncertainty,https://www.cnbc.com/2026/04/09/openai-halts-uk-stargate-project.html
45,Teesworks AI data centre (Lackenby),Teesworks Ltd (Google talks),"Redcar, Teesside",North East,54.585,-1.08,,"~500,000 sqm",Outline approved,Northumbrian Water,false,End-user unconfirmed,https://www.datacenterdynamics.com/en/news/teesworks-data-center-gets-approved-despite-clash-with-bp-over-planned-hydrogen-plant/
46,"Sembcorp Digital Reef, Wilton",Sembcorp,"Wilton, nr Redcar, Teesside",North East,54.583,-1.103,280,"Phase 1, ~1m sq ft",Submitted May 2026,Northumbrian Water,false,,https://www.placenortheast.co.uk/sembcorp-submits-plans-for-1m-sq-ft-teesside-data-centre/
47,Latos Preston Farm AI data centre,Latos Data Centres,"Stockton-on-Tees, Teesside",North East,54.557,-1.317,,"£100m, AI inference",Approved Sept 2025,Northumbrian Water,false,,https://www.uktech.news/ai/approval-secured-for-100m-stockton-data-centre-20250922
48,Kao Data Manchester (Kenwood Point),Kao Data,"Stockport, Greater Manchester",North West,53.408,-2.157,40,£350m,Under construction,United Utilities,false,,https://www.datacenterdynamics.com/en/news/kao-data-breaks-ground-at-464m-data-center-in-manchester-the-uk/
49,"Platform Data Centres, Bank Quay",Dante FS / Platform DC UK,"Warrington, Cheshire",North West,53.388,-2.601,,"~260,000 sq ft modular",Announced,United Utilities,false,,https://www.datacenterdynamics.com/en/news/former-unilever-soap-factory-in-warrington-uk-could-become-modular-data-center/
50,Liverpool Road data centre,Digital Land & Dev / Peel Waters,"Salford, Greater Manchester",North West,53.483,-2.294,,"£250m, 66,300 sq ft",Approved,United Utilities,false,,https://www.placenorthwest.co.uk/salford-paves-way-for-250m-data-centre/
51,Trafford Park hybrid scheme,L&G (BMW pension fund),"Trafford Park, Greater Manchester",North West,53.467,-2.328,36,"280,000 sq ft option",Hybrid application submitted,United Utilities,false,DC is one of two options,https://www.placenorthwest.co.uk/lg-tables-industrial-overhaul-with-potential-for-280000-sq-ft-data-centre/
52,PACE/Mace AI data centre,Pathfinder Clean Energy / Mace,West Midlands (undisclosed),West Midlands,52.486,-1.89,168,168MW across 3-site portfolio,Announced Jan 2026,Severn Trent,true,Exact site undisclosed,https://www.datacenterdynamics.com/en/news/pace-taps-mace-to-construct-168mw-uk-data-center-portfolio/
53,Ratcliffe-on-Soar redevelopment,Uniper / Rushcliffe BC,"Ratcliffe-on-Soar, Nottinghamshire",East Midlands,52.866,-1.255,,,Announced (LDO),Severn Trent,true,Early stage,https://www.placemidlands.co.uk/data-centre-plan-for-former-ratcliffe-power-station/
54,Former E.on office site DC,Undisclosed,Nottinghamshire,East Midlands,52.95,-1.15,20,,Proposed/submitted,Severn Trent,true,Developer unknown,https://www.datacenterdynamics.com/en/news/20mw-data-center-proposed-at-former-eon-office-site-in-nottinghamshire-uk/
55,Stoke-on-Trent GPU/edge facility,Undisclosed GPU cloud firm,"Stoke-on-Trent, Staffordshire",West Midlands,53.002,-2.179,0.5,Initial,Announced,Severn Trent,true,Very small scale,https://www.datacenterdynamics.com/en/news/data-center-planned-in-stoke-on-trent-uk/
56,"Somerset Data Centre, Express Park",Express Distribution Park Ltd,"Bridgwater, Somerset",South West,51.128,-2.997,500,"129ha, solar-linked; flood zone 3",EIA scoping approved Feb 2026,Wessex Water,true,Operator unknown; flood zone,https://www.datacenterdynamics.com/en/news/500mw-data-center-campus-planned-in-somerset-uk/
57,"Ark Data Centres, Spring Park",Ark Data Centres,"Corsham, Wiltshire",South West,51.434,-2.184,,£250m,Approved Feb 2026,Wessex Water,true,,https://www.thebusinessdesk.com/south-west/news/35965-250m-data-centre-plans-approved-despite-more-than-1000-objections
58,Vantage Bridgend campus,Vantage Data Centers,"Bridgend, Bridgend County Borough",Wales,51.504,-3.576,,~£10bn; S Wales AIGZ,Outline approved,Welsh Water,false,AIGZ flagship,https://www.datacenterdynamics.com/en/news/uk-announces-fourth-ai-growth-zone-in-south-wales/
59,Microsoft Newport,Microsoft,"Newport, South Wales",Wales,51.588,-2.997,,"750,000 sq ft halls",Approved Jul 2024,Welsh Water,false,,https://www.datacenterdynamics.com/en/news/microsoft-to-build-data-center-in-newport-wales/
60,Bro Tathan business park site,TBC (Microsoft AIGZ partner),"St Athan, Vale of Glamorgan",Wales,51.404,-3.435,,S Wales AIGZ,Announced,Welsh Water,false,Developer TBC,https://www.datacenterdynamics.com/en/news/uk-announces-fourth-ai-growth-zone-in-south-wales/
61,"Latos Cardiff hyperscale, Rover Way",Latos Data Centres,"Tremorfa, Cardiff",Wales,51.476,-3.143,90,90MVA,Approved,Welsh Water,false,,https://www.datacenterdynamics.com/en/news/new-uk-operator-latos-plans-90mw-data-center-in-cardiff-wales/
62,Prosperity Parc + BESS,Stena Line,"Holyhead area, Anglesey",Wales,53.309,-4.631,,"~238,000 sqm; £1bn; N Wales AIGZ",Announced,Welsh Water,false,,https://www.datacenterdynamics.com/en/news/uk-plans-ai-growth-zone-in-north-wales-announces-data-center-power-and-planning-reforms/
63,Trawsfynydd former nuclear site,Consortium (Stena/Anglesey/Bangor),"Trawsfynydd, Gwynedd",Wales,52.913,-3.926,,N Wales AIGZ >500MW,Announced Nov 2025,Welsh Water,false,Early stage,https://www.gov.uk/government/news/ai-growth-zones-to-create-thousands-of-jobs-and-unlock-up-to-100-billion-in-investment-as-new-site-confirmed-for-north-wales
64,Ravenscraig AI Energy Campus,Apatura,"Motherwell, North Lanarkshire",Scotland,55.802,-3.967,550,£3.9bn + BESS,Pre-application 2025,Scottish Water,false,,https://www.datacenterdynamics.com/en/news/apatura-plans-500mw-data-center-campus-in-scotland/
65,Drumshangie,Apatura,"Nr Airdrie, North Lanarkshire",Scotland,55.9,-3.98,500,,Pre-application,Scottish Water,false,From APRS tracker - verify,https://aprs.scot/data-centre-map/
66,DataVita South Lanridge,HFD Renewables / DataVita,"Chapelhall, North Lanarkshire",Scotland,55.86,-3.93,500,Plus 40MW Fortis site,In planning,Scottish Water,false,From APRS tracker - verify,https://aprs.scot/data-centre-map/
67,Auchtertool AI data centre,ILI Group,"Auchtertool, Fife",Scotland,56.143,-3.26,600,,In planning,Scottish Water,false,,https://www.fwi.co.uk/news/nfu-scotland-raises-concerns-over-fife-ai-data-centre
68,Hurlford,ILI Group,"Hurlford, East Ayrshire",Scotland,55.606,-4.385,540,,Pre-application,Scottish Water,false,From APRS tracker - verify,https://aprs.scot/data-centre-map/
69,South Gyle / Redheughs Avenue,Shelborn / Drummond Ltd,Edinburgh,Scotland,55.937,-3.318,213,212-213MW,Refused Feb 2026; at appeal,Scottish Water,false,Edinburgh DC moratorium vote,https://www.datacenterdynamics.com/en/news/vote-imminent-on-plans-for-213mw-data-center-in-edinburgh-scotland/
70,Blackdog AI campus,Ashfield Land + TechRE,"Blackdog, N of Aberdeen, Aberdeenshire",Scotland,57.225,-2.073,600,'multi-gigawatt' ambition,Announced / pre-plan,Scottish Water,false,,https://www.scotsman.com/news/plans-unveiled-for-multi-gigawatt-data-centre-near-aberdeen-7061476
71,Coldstream,Apatura,"Coldstream, Scottish Borders",Scotland,55.652,-2.249,300,,Pre-application,Scottish Water,false,From APRS tracker - verify,https://aprs.scot/data-centre-map/
72,Killean,Argyll Development + SambaNova,"Killean, Argyll",Scotland,55.65,-5.65,100,100-600MW scaling to 2GW,Pre-application,Scottish Water,false,Very early stage,https://aprs.scot/data-centre-map/
